employee_id,department_name,management_tier,job_title,base_salary,performance_rating,tenure_years,age,gender,ethnicity,hire_date,termination_date,engagement_score,manager_satisfaction,work_life_balance_score,is_attrition,comp_ratio,tenure_cohort,flight_risk_flag
296,Engineering,Associate,Associate - Engineering,72510.49,3,0.41,34,Other,,2026-03-20,,7.0,6.0,1.0,0,1.254,0-1 Year (Onboarding),0
3285,Engineering,Associate,Associate - Engineering,57654.43,3,3.38,36,Non-Binary,Caucasian,2023-03-30,,8.0,6.0,9.99,0,0.997,3+ Years (Tenured),0
2903,Engineering,Associate,Associate - Engineering,64000.95,5,0.32,34,Other,African American,2022-06-26,2022-10-19,6.0,5.0,5.0,1,1.107,0-1 Year (Onboarding),0
293,Engineering,Associate,Associate - Engineering,52215.75,3,1.91,41,Male,African American,2024-09-18,,4.0,4.0,6.0,0,0.903,1-3 Years (Mid-Tenure),0
3264,Engineering,Associate,Associate - Engineering,62438.59,5,1.21,21,Male,,2025-05-30,,7.0,4.0,9.99,0,1.08,1-3 Years (Mid-Tenure),0
3076,Engineering,Associate,Associate - Engineering,61647.24,4,2.99,35,Male,Hispanic,2023-08-20,,6.0,6.0,5.0,0,1.066,1-3 Years (Mid-Tenure),0
3107,Engineering,Associate,Associate - Engineering,59059.21,3,2.72,21,Female,Two or More,2023-11-25,,2.0,4.0,4.0,0,1.021,1-3 Years (Mid-Tenure),0
3109,Engineering,Associate,Associate - Engineering,44502.62,2,4.05,26,Other,Caucasian,2022-07-30,,5.0,3.0,1.0,0,0.77,3+ Years (Tenured),0
3234,Engineering,Associate,Associate - Engineering,70260.48,3,3.84,37,Female,African American,2022-10-12,,5.0,7.0,4.0,0,1.215,3+ Years (Tenured),0
3142,Engineering,Associate,Associate - Engineering,60490.65,2,1.68,38,Other,African American,2024-12-10,,1.0,3.0,1.0,0,1.046,1-3 Years (Mid-Tenure),0
3153,Engineering,Associate,Associate - Engineering,70467.89,3,4.1,48,Female,African American,2022-07-11,,7.0,4.0,8.0,0,1.219,3+ Years (Tenured),0
262,Engineering,Associate,Associate - Engineering,62307.69,5,4.49,41,Female,Hispanic,2022-02-17,,5.0,3.0,1.0,0,1.078,3+ Years (Tenured),0
3226,Engineering,Associate,Associate - Engineering,68278.91,2,2.35,25,Other,Two or More,2024-04-10,,6.0,5.0,7.0,0,1.181,1-3 Years (Mid-Tenure),0
3219,Engineering,Associate,Associate - Engineering,53090.65,3,0.64,54,Other,Two or More,2025-12-26,,5.0,8.0,4.0,0,0.918,0-1 Year (Onboarding),0
266,Engineering,Associate,Associate - Engineering,74962.32,3,4.31,43,Non-Binary,African American,2022-04-24,,9.0,4.0,6.0,0,1.296,3+ Years (Tenured),0
3466,Engineering,Associate,Associate - Engineering,53064.9,2,2.7,24,Non-Binary,Hispanic,2023-12-04,,4.0,2.0,6.0,0,0.918,1-3 Years (Mid-Tenure),0
195,Engineering,Associate,Associate - Engineering,65902.93,1,0.59,30,Non-Binary,Asian,2026-01-13,,6.0,6.0,7.0,0,1.14,0-1 Year (Onboarding),0
1939,Engineering,Associate,Associate - Engineering,66137.87,3,2.45,45,Other,Hispanic,2024-03-05,,9.0,6.0,9.99,0,1.144,1-3 Years (Mid-Tenure),0
2523,Engineering,Associate,Associate - Engineering,47802.24,2,2.26,45,Female,Asian,2022-01-29,2024-05-04,6.0,5.0,5.0,1,0.827,1-3 Years (Mid-Tenure),0
2531,Engineering,Associate,Associate - Engineering,72790.73,3,1.52,22,Female,Caucasian,2025-02-05,,9.99,6.0,9.0,0,1.259,1-3 Years (Mid-Tenure),0
2542,Engineering,Associate,Associate - Engineering,41047.77,3,2.83,34,Non-Binary,Two or More,2023-10-17,,4.0,2.0,3.0,0,0.71,1-3 Years (Mid-Tenure),0
2555,Engineering,Associate,Associate - Engineering,47053.13,4,1.14,42,Non-Binary,Asian,2025-06-25,,5.0,5.0,1.0,0,0.814,1-3 Years (Mid-Tenure),0
2557,Engineering,Associate,Associate - Engineering,40650.95,3,2.06,43,Female,Asian,2024-07-25,,9.99,9.99,7.0,0,0.703,1-3 Years (Mid-Tenure),0
2590,Engineering,Associate,Associate - Engineering,54550.83,5,1.14,61,Male,African American,2025-06-25,,4.0,8.0,9.99,0,0.943,1-3 Years (Mid-Tenure),1
2706,Engineering,Associate,Associate - Engineering,69499.14,3,2.37,29,Female,,2024-04-03,,7.0,4.0,4.0,0,1.202,1-3 Years (Mid-Tenure),0
2733,Engineering,Associate,Associate - Engineering,72671.41,3,2.46,53,Other,Two or More,2024-03-01,,7.0,5.0,4.0,0,1.257,1-3 Years (Mid-Tenure),0
2752,Engineering,Associate,Associate - Engineering,57168.2,1,5.05,21,Female,Hispanic,2021-07-29,,5.0,6.0,1.0,0,0.989,3+ Years (Tenured),0
3468,Engineering,Associate,Associate - Engineering,48621.09,5,4.61,38,Female,African American,2022-01-05,,1.0,1.0,6.0,0,0.841,3+ Years (Tenured),1
3531,Engineering,Associate,Associate - Engineering,70860.02,3,0.42,44,Non-Binary,Two or More,2026-03-14,,7.0,8.0,9.99,0,1.226,0-1 Year (Onboarding),0
2764,Engineering,Associate,Associate - Engineering,59682.86,4,0.14,43,Female,African American,2026-06-25,,6.0,5.0,5.0,0,1.032,0-1 Year (Onboarding),0
3454,Engineering,Associate,Associate - Engineering,45723.42,4,2.24,38,Non-Binary,African American,2024-05-19,,6.0,8.0,5.0,0,0.791,1-3 Years (Mid-Tenure),0
2798,Engineering,Associate,Associate - Engineering,49577.95,3,0.32,32,Male,Two or More,2026-04-21,,7.0,4.0,1.0,0,0.857,0-1 Year (Onboarding),0
2822,Engineering,Associate,Associate - Engineering,48477.33,3,0.41,39,Female,Asian,2026-03-17,,6.0,5.0,5.0,0,0.838,0-1 Year (Onboarding),0
3446,Engineering,Associate,Associate - Engineering,42451.6,3,3.28,29,Female,Hispanic,2023-05-04,,9.0,7.0,8.0,0,0.734,3+ Years (Tenured),0
2837,Engineering,Associate,Associate - Engineering,73665.67,4,2.87,21,Other,Hispanic,2023-10-04,,6.0,8.0,8.0,0,1.274,1-3 Years (Mid-Tenure),0
352,Engineering,Associate,Associate - Engineering,74332.78,3,4.45,53,Other,Hispanic,2022-03-04,,9.0,9.0,7.0,0,1.286,3+ Years (Tenured),0
222,Engineering,Associate,Associate - Engineering,63444.96,4,0.7,54,Female,Hispanic,2022-11-23,2023-08-04,6.0,5.0,5.0,1,1.097,0-1 Year (Onboarding),0
2847,Engineering,Associate,Associate - Engineering,47133.69,3,2.65,39,Male,Two or More,2023-12-23,,5.0,7.0,1.0,0,0.815,1-3 Years (Mid-Tenure),0
349,Engineering,Associate,Associate - Engineering,52873.71,3,0.93,39,Male,Caucasian,2024-11-07,2025-10-13,6.0,5.0,7.0,1,0.914,0-1 Year (Onboarding),0
347,Engineering,Associate,Associate - Engineering,53311.75,2,5.11,42,Non-Binary,Hispanic,2021-07-06,,8.0,8.0,8.0,0,0.922,3+ Years (Tenured),0
2891,Engineering,Associate,Associate - Engineering,45323.06,4,0.48,52,Female,Hispanic,2022-08-06,2023-01-27,6.0,5.0,5.0,1,0.784,0-1 Year (Onboarding),0
1338,Engineering,Associate,Associate - Engineering,57189.46,2,0.62,31,Other,Asian,2026-01-01,,7.0,5.0,8.0,0,0.989,0-1 Year (Onboarding),0
1117,Engineering,Associate,Associate - Engineering,64994.15,3,4.98,56,Female,Asian,2021-08-25,,9.0,4.0,8.0,0,1.124,3+ Years (Tenured),0
1126,Engineering,Associate,Associate - Engineering,52018.85,4,1.87,40,Other,Two or More,2024-10-02,,6.0,4.0,6.0,0,0.9,1-3 Years (Mid-Tenure),0
733,Engineering,Associate,Associate - Engineering,57794.86,1,4.95,35,,Two or More,2021-09-03,,4.0,5.0,4.0,0,1.0,3+ Years (Tenured),0
732,Engineering,Associate,Associate - Engineering,65294.98,2,3.78,52,Other,African American,2022-11-06,,8.0,8.0,4.0,0,1.129,3+ Years (Tenured),0
1211,Engineering,Associate,Associate - Engineering,62969.44,4,2.44,49,Male,African American,2024-03-09,,6.0,4.0,4.0,0,1.089,1-3 Years (Mid-Tenure),0
1238,Engineering,Associate,Associate - Engineering,70816.01,2,0.94,35,Male,Two or More,2025-09-07,,5.0,2.0,4.0,0,1.225,0-1 Year (Onboarding),0
4261,Engineering,Associate,Associate - Engineering,71727.21,3,2.93,50,Non-Binary,Caucasian,2023-09-10,,6.0,9.99,3.0,0,1.241,1-3 Years (Mid-Tenure),0
4242,Engineering,Associate,Associate - Engineering,44143.05,4,5.03,47,Non-Binary,Asian,2021-08-05,,8.0,6.0,5.0,0,0.763,3+ Years (Tenured),0
1239,Engineering,Associate,Associate - Engineering,55181.43,3,4.15,51,,Asian,2022-06-24,,4.0,7.0,3.0,0,0.954,3+ Years (Tenured),0
4231,Engineering,Associate,Associate - Engineering,41799.84,1,2.22,48,Male,Caucasian,2024-05-28,,9.99,9.99,9.0,0,0.723,1-3 Years (Mid-Tenure),0
1292,Engineering,Associate,Associate - Engineering,50068.05,4,1.02,32,Female,Hispanic,2023-09-05,2024-09-13,3.0,1.0,1.0,1,0.866,1-3 Years (Mid-Tenure),1
1320,Engineering,Associate,Associate - Engineering,50702.53,4,0.75,33,Female,African American,2025-11-15,,9.99,9.99,9.0,0,0.877,0-1 Year (Onboarding),0
1105,Engineering,Associate,Associate - Engineering,50358.54,1,3.78,43,Other,African American,2022-11-04,,3.0,8.0,8.0,0,0.871,3+ Years (Tenured),0
1343,Engineering,Associate,Associate - Engineering,40723.34,3,0.5,52,Non-Binary,Two or More,2026-02-13,,5.0,7.0,1.0,0,0.704,0-1 Year (Onboarding),0
1353,Engineering,Associate,Associate - Engineering,66665.34,3,2.08,36,Female,Two or More,2024-07-17,,9.0,4.0,1.0,0,1.153,1-3 Years (Mid-Tenure),0
697,Engineering,Associate,Associate - Engineering,54393.56,4,2.26,43,Male,Two or More,2024-05-13,,9.0,9.0,6.0,0,0.941,1-3 Years (Mid-Tenure),0
1372,Engineering,Associate,Associate - Engineering,58298.53,2,1.4,34,Other,African American,2025-03-22,,7.0,2.0,2.0,0,1.008,1-3 Years (Mid-Tenure),0
4142,Engineering,Associate,Associate - Engineering,50545.76,3,1.59,48,Female,Caucasian,2025-01-12,,8.0,8.0,4.0,0,0.874,1-3 Years (Mid-Tenure),0
4133,Engineering,Associate,Associate - Engineering,52923.41,4,1.56,43,Female,African American,2025-01-21,,9.0,9.0,5.0,0,0.915,1-3 Years (Mid-Tenure),0
1382,Engineering,Associate,Associate - Engineering,40107.4,3,4.98,39,Other,Two or More,2021-08-23,,5.0,6.0,7.0,0,0.694,3+ Years (Tenured),0
4123,Engineering,Associate,Associate - Engineering,54678.93,3,0.8,52,Male,Caucasian,2025-10-26,,9.99,7.0,9.99,0,0.946,0-1 Year (Onboarding),0
4117,Engineering,Associate,Associate - Engineering,59907.84,3,0.3,41,Female,Caucasian,2026-04-29,,6.0,9.0,7.0,0,1.036,0-1 Year (Onboarding),0
674,Engineering,Associate,Associate - Engineering,55993.9,4,4.17,44,Male,Hispanic,2022-06-14,,4.0,5.0,5.0,0,0.968,3+ Years (Tenured),1
1420,Engineering,Associate,Associate - Engineering,55340.75,3,2.12,34,Other,African American,2024-07-03,,8.0,8.0,9.99,0,0.957,1-3 Years (Mid-Tenure),0
4107,Engineering,Associate,Associate - Engineering,64378.46,4,2.25,42,Female,African American,2024-05-17,,1.0,2.0,2.0,0,1.113,1-3 Years (Mid-Tenure),1
964,Engineering,Associate,Associate - Engineering,59985.16,4,1.36,31,Other,African American,2025-04-05,,7.0,2.0,1.0,0,1.037,1-3 Years (Mid-Tenure),0
831,Engineering,Associate,Associate - Engineering,43484.77,4,3.65,39,Female,Hispanic,2022-12-20,,8.0,4.0,2.0,0,0.752,3+ Years (Tenured),0
4445,Engineering,Associate,Associate - Engineering,64700.67,5,1.1,39,Female,,2024-10-05,2025-11-12,4.0,5.0,4.0,1,1.119,1-3 Years (Mid-Tenure),1
838,Engineering,Associate,Associate - Engineering,54742.86,2,1.79,42,Non-Binary,Two or More,2024-10-29,,7.0,5.0,1.0,0,0.947,1-3 Years (Mid-Tenure),0
4424,Engineering,Associate,Associate - Engineering,67971.15,4,0.83,43,Female,,2025-10-17,,6.0,8.0,8.0,0,1.176,0-1 Year (Onboarding),0
818,Engineering,Associate,Associate - Engineering,65996.0,5,4.71,40,Female,African American,2021-11-30,,2.0,2.0,1.0,0,1.141,3+ Years (Tenured),1
867,Engineering,Associate,Associate - Engineering,67436.29,5,4.52,21,Non-Binary,Two or More,2022-02-07,,8.0,7.0,7.0,0,1.166,3+ Years (Tenured),0
898,Engineering,Associate,Associate - Engineering,55368.6,4,4.21,33,Male,Caucasian,2022-06-02,,1.0,2.0,1.0,0,0.958,3+ Years (Tenured),1
915,Engineering,Associate,Associate - Engineering,70938.62,2,2.81,43,Female,African American,2023-10-24,,3.0,7.0,4.0,0,1.227,1-3 Years (Mid-Tenure),0
792,Engineering,Associate,Associate - Engineering,70503.25,2,0.83,38,Other,Asian,2025-10-16,,1.0,4.0,1.0,0,1.219,0-1 Year (Onboarding),0
4387,Engineering,Associate,Associate - Engineering,57827.62,4,1.77,24,Other,Caucasian,2024-11-06,,7.0,2.0,5.0,0,1.0,1-3 Years (Mid-Tenure),0
936,Engineering,Associate,Associate - Engineering,72264.47,2,1.45,32,Other,Asian,2025-03-05,,7.0,4.0,1.0,0,1.25,1-3 Years (Mid-Tenure),0
15,Engineering,Associate,Associate - Engineering,53215.23,3,4.76,41,Male,African American,2021-11-11,,1.0,2.0,2.0,0,0.92,3+ Years (Tenured),0
1804,Engineering,Associate,Associate - Engineering,64626.86,3,2.94,47,Female,Hispanic,2023-09-08,,3.0,1.0,4.0,0,1.118,1-3 Years (Mid-Tenure),0
1003,Engineering,Associate,Associate - Engineering,42887.32,4,1.84,36,Male,Hispanic,2024-10-14,,9.99,8.0,7.0,0,0.742,1-3 Years (Mid-Tenure),0
4375,Engineering,Associate,Associate - Engineering,45768.43,3,1.67,22,Female,African American,2024-12-13,,8.0,5.0,4.0,0,0.792,1-3 Years (Mid-Tenure),0
4358,Engineering,Associate,Associate - Engineering,42603.87,1,0.52,33,Male,Caucasian,2026-02-06,,5.0,6.0,8.0,0,0.737,0-1 Year (Onboarding),0
1014,Engineering,Associate,Associate - Engineering,63605.84,4,2.42,43,Other,Asian,2024-03-15,,6.0,9.0,8.0,0,1.1,1-3 Years (Mid-Tenure),0
25,Engineering,Associate,Associate - Engineering,69751.39,4,3.28,58,Other,Asian,2023-05-07,,9.99,6.0,9.99,0,1.206,3+ Years (Tenured),0
1029,Engineering,Associate,Associate - Engineering,48438.54,4,4.04,45,Non-Binary,Caucasian,2022-08-01,,6.0,8.0,5.0,0,0.838,3+ Years (Tenured),0
4350,Engineering,Associate,Associate - Engineering,54837.46,5,4.91,45,Male,Asian,2021-09-19,,7.0,5.0,5.0,0,0.948,3+ Years (Tenured),0
766,Engineering,Associate,Associate - Engineering,71632.75,4,1.41,43,Male,Asian,2022-04-09,2023-09-05,6.0,5.0,5.0,1,1.239,1-3 Years (Mid-Tenure),0
1084,Engineering,Associate,Associate - Engineering,68143.28,3,0.66,43,Other,,2025-12-18,,1.0,1.0,3.0,0,1.179,0-1 Year (Onboarding),0
1094,Engineering,Associate,Associate - Engineering,48517.48,3,0.08,51,Other,African American,2026-06-29,2026-07-29,6.0,5.0,5.0,1,0.839,0-1 Year (Onboarding),0
4330,Engineering,Associate,Associate - Engineering,53125.13,2,3.05,31,Male,Asian,2023-07-27,,6.0,9.0,7.0,0,0.919,3+ Years (Tenured),0
