employee_id	department_name	management_tier	job_title	base_salary	performance_rating	tenure_years	age	gender	ethnicity	hire_date	termination_date	engagement_score	manager_satisfaction	work_life_balance_score	is_attrition	comp_ratio	estimated_replacement_cost	tenure_cohort	flight_risk_flag
1105	Engineering	Associate	Associate - Engineering	50358.54	1	3.78	43	Other	African American	2022-11-04	NULL	3.00	8.00	8.00	0	0.868	20143.4160	3+ Years (Tenured)	0
1887	Engineering	Associate	Associate - Engineering	61740.88	4	2.38	45	Other	NULL	2024-03-29	NULL	7.00	8.00	2.00	0	1.064	24696.3520	1-3 Years (Mid-Tenure)	0
2474	Engineering	Associate	Associate - Engineering	48545.70	3	5.06	34	Non-Binary	Hispanic	2021-07-26	NULL	5.00	5.00	6.00	0	0.837	19418.2800	3+ Years (Tenured)	0
1353	Engineering	Associate	Associate - Engineering	66665.34	3	2.08	36	Female	Two or More	2024-07-17	NULL	9.00	4.00	1.00	0	1.149	26666.1360	1-3 Years (Mid-Tenure)	0
2487	Engineering	Associate	Associate - Engineering	64676.67	2	2.25	36	Female	Hispanic	2024-05-16	NULL	5.00	2.00	4.00	0	1.115	25870.6680	1-3 Years (Mid-Tenure)	0
2523	Engineering	Associate	Associate - Engineering	47802.24	2	2.26	45	Female	Asian	2022-01-29	2024-05-04	NULL	NULL	NULL	1	0.824	19120.8960	1-3 Years (Mid-Tenure)	0
3975	Engineering	Associate	Associate - Engineering	63982.44	2	1.32	53	Female	Hispanic	2024-09-16	2026-01-10	9.99	9.00	NULL	1	1.103	25592.9760	1-3 Years (Mid-Tenure)	0
2531	Engineering	Associate	Associate - Engineering	72790.73	3	1.52	22	Female	Caucasian	2025-02-05	NULL	9.99	6.00	9.00	0	1.255	29116.2920	1-3 Years (Mid-Tenure)	0
2542	Engineering	Associate	Associate - Engineering	41047.77	3	2.83	34	Non-Binary	Two or More	2023-10-17	NULL	4.00	2.00	3.00	0	0.707	16419.1080	1-3 Years (Mid-Tenure)	0
3941	Engineering	Associate	Associate - Engineering	74245.79	1	0.78	42	Male	African American	2023-04-06	2024-01-17	NULL	NULL	NULL	1	1.280	29698.3160	0-1 Year (Onboarding)	0
164	Engineering	Associate	Associate - Engineering	59819.64	3	2.88	31	Non-Binary	Hispanic	2021-08-01	2024-06-19	6.00	5.00	3.00	1	1.031	23927.8560	1-3 Years (Mid-Tenure)	0
1094	Engineering	Associate	Associate - Engineering	48517.48	3	0.08	51	Other	African American	2026-06-29	2026-07-29	NULL	NULL	NULL	1	0.836	19406.9920	0-1 Year (Onboarding)	0
3920	Engineering	Associate	Associate - Engineering	72326.10	4	4.02	27	Male	Hispanic	2022-08-07	NULL	3.00	4.00	3.00	0	1.247	28930.4400	3+ Years (Tenured)	1
2555	Engineering	Associate	Associate - Engineering	47053.13	4	1.14	42	Non-Binary	Asian	2025-06-25	NULL	5.00	5.00	1.00	0	0.811	18821.2520	1-3 Years (Mid-Tenure)	0
2557	Engineering	Associate	Associate - Engineering	40650.95	3	2.06	43	Female	Asian	2024-07-25	NULL	9.99	9.99	7.00	0	0.701	16260.3800	1-3 Years (Mid-Tenure)	0
583	Engineering	Associate	Associate - Engineering	72440.36	2	3.72	37	Male	Asian	2022-11-25	NULL	1.00	5.00	5.00	0	1.249	28976.1440	3+ Years (Tenured)	0
2590	Engineering	Associate	Associate - Engineering	54550.83	5	1.14	61	Male	African American	2025-06-25	NULL	4.00	8.00	9.99	0	0.940	21820.3320	1-3 Years (Mid-Tenure)	1
1372	Engineering	Associate	Associate - Engineering	58298.53	2	1.40	34	Other	African American	2025-03-22	NULL	7.00	2.00	2.00	0	1.005	23319.4120	1-3 Years (Mid-Tenure)	0
1830	Engineering	Associate	Associate - Engineering	61513.78	3	0.96	50	Other	Caucasian	2025-08-30	NULL	7.00	9.99	3.00	0	1.060	24605.5120	0-1 Year (Onboarding)	0
1084	Engineering	Associate	Associate - Engineering	68143.28	3	0.66	43	Other	NULL	2025-12-18	NULL	1.00	1.00	3.00	0	1.174	27257.3120	0-1 Year (Onboarding)	0
184	Engineering	Associate	Associate - Engineering	70365.57	4	2.69	36	Male	Hispanic	2023-12-07	NULL	9.99	9.00	9.99	0	1.213	28146.2280	1-3 Years (Mid-Tenure)	0
3832	Engineering	Associate	Associate - Engineering	40898.86	5	2.52	51	Other	Hispanic	2022-06-21	2024-12-25	9.00	3.00	4.00	1	0.705	16359.5440	1-3 Years (Mid-Tenure)	0
3830	Engineering	Associate	Associate - Engineering	65840.84	4	4.69	23	Non-Binary	Asian	2021-12-07	NULL	5.00	3.00	4.00	0	1.135	26336.3360	3+ Years (Tenured)	0
195	Engineering	Associate	Associate - Engineering	65902.93	1	0.59	30	Non-Binary	Asian	2026-01-13	NULL	6.00	6.00	7.00	0	1.136	26361.1720	0-1 Year (Onboarding)	0
197	Engineering	Associate	Associate - Engineering	48730.87	4	1.25	37	Non-Binary	Caucasian	2025-05-16	NULL	9.99	5.00	6.00	0	0.840	19492.3480	1-3 Years (Mid-Tenure)	0
595	Engineering	Associate	Associate - Engineering	58669.84	2	0.83	39	Male	African American	2025-10-15	NULL	4.00	2.00	1.00	0	1.011	23467.9360	0-1 Year (Onboarding)	0
2706	Engineering	Associate	Associate - Engineering	69499.14	3	2.37	29	Female	NULL	2024-04-03	NULL	7.00	4.00	4.00	0	1.198	27799.6560	1-3 Years (Mid-Tenure)	0
3562	Engineering	Associate	Associate - Engineering	50796.78	3	1.96	21	Non-Binary	Caucasian	2024-08-30	NULL	9.99	8.00	9.99	0	0.875	20318.7120	1-3 Years (Mid-Tenure)	0
1790	Engineering	Associate	Associate - Engineering	45219.65	3	0.32	44	Male	Asian	2025-06-17	2025-10-10	NULL	NULL	NULL	1	0.779	18087.8600	0-1 Year (Onboarding)	0
1382	Engineering	Associate	Associate - Engineering	40107.40	3	4.98	39	Other	Two or More	2021-08-23	NULL	5.00	6.00	7.00	0	0.691	16042.9600	3+ Years (Tenured)	0
1535	Engineering	Associate	Associate - Engineering	63747.21	5	1.25	21	NULL	Hispanic	2025-05-15	NULL	4.00	2.00	7.00	0	1.099	25498.8840	1-3 Years (Mid-Tenure)	1
1525	Engineering	Associate	Associate - Engineering	46635.94	3	0.96	44	Other	Asian	2025-08-30	NULL	7.00	7.00	5.00	0	0.804	18654.3760	0-1 Year (Onboarding)	0
3048	Engineering	Associate	Associate - Engineering	60414.55	2	3.13	38	Other	Two or More	2023-06-28	NULL	4.00	1.00	2.00	0	1.041	24165.8200	3+ Years (Tenured)	0
347	Engineering	Associate	Associate - Engineering	53311.75	2	5.11	42	Non-Binary	Hispanic	2021-07-06	NULL	8.00	8.00	8.00	0	0.919	21324.7000	3+ Years (Tenured)	0
443	Engineering	Associate	Associate - Engineering	42990.02	2	2.16	21	Female	NULL	2022-12-05	2025-01-30	5.00	2.00	3.00	1	0.741	17196.0080	1-3 Years (Mid-Tenure)	0
349	Engineering	Associate	Associate - Engineering	52873.71	3	0.93	39	Male	Caucasian	2024-11-07	2025-10-13	6.00	5.00	7.00	1	0.911	21149.4840	0-1 Year (Onboarding)	0
1029	Engineering	Associate	Associate - Engineering	48438.54	4	4.04	45	Non-Binary	Caucasian	2022-08-01	NULL	6.00	8.00	5.00	0	0.835	19375.4160	3+ Years (Tenured)	0
352	Engineering	Associate	Associate - Engineering	74332.78	3	4.45	53	Other	Hispanic	2022-03-04	NULL	9.00	9.00	7.00	0	1.281	29733.1120	3+ Years (Tenured)	0
1639	Engineering	Associate	Associate - Engineering	66543.42	2	0.80	36	Other	Hispanic	2025-08-04	2026-05-22	5.00	9.99	3.00	1	1.147	26617.3680	0-1 Year (Onboarding)	0
3315	Engineering	Associate	Associate - Engineering	54591.92	2	2.08	65	NULL	Caucasian	2024-07-15	NULL	6.00	5.00	4.00	0	0.941	21836.7680	1-3 Years (Mid-Tenure)	0
3304	Engineering	Associate	Associate - Engineering	68356.56	4	1.50	21	Other	Hispanic	2022-05-04	2023-11-03	NULL	NULL	NULL	1	1.178	27342.6240	1-3 Years (Mid-Tenure)	0
3076	Engineering	Associate	Associate - Engineering	61647.24	4	2.99	35	Male	Hispanic	2023-08-20	NULL	6.00	6.00	5.00	0	1.062	24658.8960	1-3 Years (Mid-Tenure)	0
1629	Engineering	Associate	Associate - Engineering	58714.54	2	4.90	45	Male	African American	2021-09-22	NULL	3.00	6.00	NULL	0	1.012	23485.8160	3+ Years (Tenured)	0
1624	Engineering	Associate	Associate - Engineering	55225.76	4	1.77	42	Non-Binary	Hispanic	2024-11-08	NULL	8.00	4.00	6.00	0	0.952	22090.3040	1-3 Years (Mid-Tenure)	0
3285	Engineering	Associate	Associate - Engineering	57654.43	3	3.38	36	Non-Binary	Caucasian	2023-03-30	NULL	8.00	6.00	9.99	0	0.994	23061.7720	3+ Years (Tenured)	0
424	Engineering	Associate	Associate - Engineering	49904.59	4	1.35	37	Non-Binary	Hispanic	2025-04-08	NULL	6.00	3.00	6.00	0	0.860	19961.8360	1-3 Years (Mid-Tenure)	0
1653	Engineering	Associate	Associate - Engineering	55124.11	4	0.90	40	Female	Asian	2025-09-20	NULL	7.00	5.00	4.00	0	0.950	22049.6440	0-1 Year (Onboarding)	0
3107	Engineering	Associate	Associate - Engineering	59059.21	3	2.72	21	Female	Two or More	2023-11-25	NULL	2.00	4.00	4.00	0	1.018	23623.6840	1-3 Years (Mid-Tenure)	0
3109	Engineering	Associate	Associate - Engineering	44502.62	2	4.05	26	Other	Caucasian	2022-07-30	NULL	5.00	3.00	1.00	0	0.767	17801.0480	3+ Years (Tenured)	0
3264	Engineering	Associate	Associate - Engineering	62438.59	5	1.21	21	Male	NULL	2025-05-30	NULL	7.00	4.00	9.99	0	1.076	24975.4360	1-3 Years (Mid-Tenure)	0
1014	Engineering	Associate	Associate - Engineering	63605.84	4	2.42	43	Other	Asian	2024-03-15	NULL	6.00	9.00	8.00	0	1.096	25442.3360	1-3 Years (Mid-Tenure)	0
1562	Engineering	Associate	Associate - Engineering	44948.39	2	0.57	31	Male	African American	2026-01-19	NULL	NULL	NULL	NULL	0	0.775	17979.3560	0-1 Year (Onboarding)	0
3234	Engineering	Associate	Associate - Engineering	70260.48	3	3.84	37	Female	African American	2022-10-12	NULL	5.00	7.00	4.00	0	1.211	28104.1920	3+ Years (Tenured)	0
3226	Engineering	Associate	Associate - Engineering	68278.91	2	2.35	25	Other	Two or More	2024-04-10	NULL	6.00	5.00	7.00	0	1.177	27311.5640	1-3 Years (Mid-Tenure)	0
1565	Engineering	Associate	Associate - Engineering	51037.16	4	4.48	33	Male	Asian	2022-02-22	NULL	8.00	5.00	3.00	0	0.880	20414.8640	3+ Years (Tenured)	0
3142	Engineering	Associate	Associate - Engineering	60490.65	2	1.68	38	Other	African American	2024-12-10	NULL	1.00	3.00	1.00	0	1.043	24196.2600	1-3 Years (Mid-Tenure)	0
3219	Engineering	Associate	Associate - Engineering	53090.65	3	0.64	54	Other	Two or More	2025-12-26	NULL	5.00	8.00	4.00	0	0.915	21236.2600	0-1 Year (Onboarding)	0
1003	Engineering	Associate	Associate - Engineering	42887.32	4	1.84	36	Male	Hispanic	2024-10-14	NULL	9.99	8.00	7.00	0	0.739	17154.9280	1-3 Years (Mid-Tenure)	0
3153	Engineering	Associate	Associate - Engineering	70467.89	3	4.10	48	Female	African American	2022-07-11	NULL	7.00	4.00	8.00	0	1.215	28187.1560	3+ Years (Tenured)	0
1588	Engineering	Associate	Associate - Engineering	63509.97	5	1.49	26	Male	African American	2025-02-18	NULL	7.00	5.00	4.00	0	1.095	25403.9880	1-3 Years (Mid-Tenure)	0
1609	Engineering	Associate	Associate - Engineering	68458.46	1	3.76	21	Male	Asian	2022-11-11	NULL	7.00	NULL	6.00	0	1.180	27383.3840	3+ Years (Tenured)	0
1605	Engineering	Associate	Associate - Engineering	50388.17	3	0.36	39	Other	Hispanic	2025-11-18	2026-03-31	4.00	3.00	5.00	1	0.868	20155.2680	0-1 Year (Onboarding)	0
1705	Engineering	Associate	Associate - Engineering	41815.21	4	1.13	35	Other	Two or More	2025-06-27	NULL	6.00	7.00	7.00	0	0.721	16726.0840	1-3 Years (Mid-Tenure)	0
1711	Engineering	Associate	Associate - Engineering	47642.49	4	3.21	58	Other	African American	2023-05-30	NULL	1.00	1.00	5.00	0	0.821	19056.9960	3+ Years (Tenured)	1
898	Engineering	Associate	Associate - Engineering	55368.60	4	4.21	33	Male	Caucasian	2022-06-02	NULL	1.00	2.00	1.00	0	0.954	22147.4400	3+ Years (Tenured)	1
3560	Engineering	Associate	Associate - Engineering	50606.79	3	5.12	37	Other	Hispanic	2021-07-04	NULL	5.00	3.00	1.00	0	0.872	20242.7160	3+ Years (Tenured)	0
1459	Engineering	Associate	Associate - Engineering	53854.52	4	0.78	49	NULL	Caucasian	2025-11-05	NULL	4.00	1.00	5.00	0	0.928	21541.8080	0-1 Year (Onboarding)	1
508	Engineering	Associate	Associate - Engineering	63613.73	4	2.48	62	Female	Caucasian	2024-02-21	NULL	7.00	8.00	5.00	0	1.096	25445.4920	1-3 Years (Mid-Tenure)	0
3531	Engineering	Associate	Associate - Engineering	70860.02	3	0.42	44	Non-Binary	Two or More	2026-03-14	NULL	7.00	8.00	9.99	0	1.221	28344.0080	0-1 Year (Onboarding)	0
2891	Engineering	Associate	Associate - Engineering	45323.06	4	0.48	52	Female	Hispanic	2022-08-06	2023-01-27	NULL	NULL	NULL	1	0.781	18129.2240	0-1 Year (Onboarding)	0
1706	Engineering	Associate	Associate - Engineering	40850.92	3	4.02	33	Other	Two or More	2022-08-07	NULL	7.00	4.00	5.00	0	0.704	16340.3680	3+ Years (Tenured)	0
293	Engineering	Associate	Associate - Engineering	52215.75	3	1.91	41	Male	African American	2024-09-18	NULL	4.00	4.00	6.00	0	0.900	20886.3000	1-3 Years (Mid-Tenure)	0
296	Engineering	Associate	Associate - Engineering	72510.49	3	0.41	34	Other	NULL	2026-03-20	NULL	7.00	6.00	1.00	0	1.250	29004.1960	0-1 Year (Onboarding)	0
2903	Engineering	Associate	Associate - Engineering	64000.95	5	0.32	34	Other	African American	2022-06-26	2022-10-19	NULL	NULL	NULL	1	1.103	25600.3800	0-1 Year (Onboarding)	0
1496	Engineering	Associate	Associate - Engineering	52831.78	2	0.44	33	Male	Two or More	2026-03-08	NULL	4.00	3.00	3.00	0	0.911	21132.7120	0-1 Year (Onboarding)	0
1497	Engineering	Associate	Associate - Engineering	49784.11	5	4.47	42	Female	African American	2022-02-27	NULL	4.00	6.00	5.00	0	0.858	19913.6440	3+ Years (Tenured)	1
2915	Engineering	Associate	Associate - Engineering	66121.79	3	0.70	24	Female	NULL	2025-12-04	NULL	7.00	4.00	7.00	0	1.140	26448.7160	0-1 Year (Onboarding)	0
1500	Engineering	Associate	Associate - Engineering	46774.87	4	4.10	28	Female	African American	2022-07-11	NULL	6.00	NULL	3.00	0	0.806	18709.9480	3+ Years (Tenured)	0
2847	Engineering	Associate	Associate - Engineering	47133.69	3	2.65	39	Male	Two or More	2023-12-23	NULL	5.00	7.00	1.00	0	0.812	18853.4760	1-3 Years (Mid-Tenure)	0
2936	Engineering	Associate	Associate - Engineering	42110.48	1	3.65	42	Female	Two or More	2022-12-23	NULL	5.00	4.00	6.00	0	0.726	16844.1920	3+ Years (Tenured)	0
2939	Engineering	Associate	Associate - Engineering	71717.98	1	3.55	31	Non-Binary	African American	2023-01-27	NULL	5.00	4.00	5.00	0	1.236	28687.1920	3+ Years (Tenured)	0
3468	Engineering	Associate	Associate - Engineering	48621.09	5	4.61	38	Female	African American	2022-01-05	NULL	1.00	1.00	6.00	0	0.838	19448.4360	3+ Years (Tenured)	1
3466	Engineering	Associate	Associate - Engineering	53064.90	2	2.70	24	Non-Binary	Hispanic	2023-12-04	NULL	4.00	2.00	6.00	0	0.915	21225.9600	1-3 Years (Mid-Tenure)	0
1672	Engineering	Associate	Associate - Engineering	72026.23	4	2.94	34	Other	African American	2023-09-07	NULL	6.00	1.00	4.00	0	1.241	28810.4920	1-3 Years (Mid-Tenure)	0
3454	Engineering	Associate	Associate - Engineering	45723.42	4	2.24	38	Non-Binary	African American	2024-05-19	NULL	6.00	8.00	5.00	0	0.788	18289.3680	1-3 Years (Mid-Tenure)	0
2970	Engineering	Associate	Associate - Engineering	68553.45	4	4.93	21	Male	Asian	2021-09-12	NULL	5.00	4.00	2.00	0	1.182	27421.3800	3+ Years (Tenured)	0
3446	Engineering	Associate	Associate - Engineering	42451.60	3	3.28	29	Female	Hispanic	2023-05-04	NULL	9.00	7.00	8.00	0	0.732	16980.6400	3+ Years (Tenured)	0
964	Engineering	Associate	Associate - Engineering	59985.16	4	1.36	31	Other	African American	2025-04-05	NULL	7.00	2.00	1.00	0	1.034	23994.0640	1-3 Years (Mid-Tenure)	0
2995	Engineering	Associate	Associate - Engineering	55620.33	3	0.10	49	Male	Two or More	2023-10-15	2023-11-20	NULL	NULL	NULL	1	0.959	22248.1320	0-1 Year (Onboarding)	0
456	Engineering	Associate	Associate - Engineering	69833.95	2	1.77	28	Male	Hispanic	2024-11-08	NULL	7.00	6.00	5.00	0	1.204	27933.5800	1-3 Years (Mid-Tenure)	0
1658	Engineering	Associate	Associate - Engineering	55022.74	4	0.82	32	Other	Two or More	2025-10-19	NULL	5.00	7.00	1.00	0	0.948	22009.0960	0-1 Year (Onboarding)	0
3389	Engineering	Associate	Associate - Engineering	54161.57	4	4.49	24	NULL	Hispanic	2022-02-18	NULL	9.99	8.00	5.00	0	0.933	21664.6280	3+ Years (Tenured)	0
3029	Engineering	Associate	Associate - Engineering	68175.01	4	4.85	31	Non-Binary	Two or More	2021-10-08	NULL	7.00	2.00	3.00	0	1.175	27270.0040	3+ Years (Tenured)	0
1656	Engineering	Associate	Associate - Engineering	72595.08	2	1.42	43	Other	Hispanic	2023-10-25	2025-03-25	5.00	9.00	6.00	1	1.251	29038.0320	1-3 Years (Mid-Tenure)	0
1239	Engineering	Associate	Associate - Engineering	55181.43	3	4.15	51	NULL	Asian	2022-06-24	NULL	4.00	7.00	3.00	0	0.951	22072.5720	3+ Years (Tenured)	0
838	Engineering	Associate	Associate - Engineering	54742.86	2	1.79	42	Non-Binary	Two or More	2024-10-29	NULL	7.00	NULL	1.00	0	0.943	21897.1440	1-3 Years (Mid-Tenure)	0
4107	Engineering	Associate	Associate - Engineering	64378.46	4	2.25	42	Female	African American	2024-05-17	NULL	1.00	2.00	2.00	0	1.110	25751.3840	1-3 Years (Mid-Tenure)	1
2224	Engineering	Associate	Associate - Engineering	67027.00	4	0.61	46	Male	Caucasian	2026-01-05	NULL	3.00	1.00	4.00	0	1.155	26810.8000	0-1 Year (Onboarding)	1
4105	Engineering	Associate	Associate - Engineering	47571.87	3	1.97	22	Male	Two or More	2024-08-27	NULL	8.00	5.00	3.00	0	0.820	19028.7480	1-3 Years (Mid-Tenure)	0
4101	Engineering	Associate	Associate - Engineering	74385.47	2	0.59	41	Female	Two or More	2026-01-13	NULL	4.00	4.00	NULL	0	1.282	29754.1880	0-1 Year (Onboarding)	0
2223	Engineering	Associate	Associate - Engineering	70480.59	3	1.98	40	Non-Binary	African American	2024-08-23	NULL	6.00	5.00	9.99	0	1.215	28192.2360	1-3 Years (Mid-Tenure)	0
109	Engineering	Associate	Associate - Engineering	66316.26	2	0.61	44	Male	African American	2026-01-03	NULL	4.00	7.00	4.00	0	1.143	26526.5040	0-1 Year (Onboarding)	0
2219	Engineering	Associate	Associate - Engineering	57946.79	3	3.52	34	Female	Caucasian	2023-02-09	NULL	1.00	4.00	2.00	0	0.999	23178.7160	3+ Years (Tenured)	0
111	Engineering	Associate	Associate - Engineering	51033.86	2	3.55	40	Male	Caucasian	2023-01-29	NULL	4.00	4.00	1.00	0	0.880	20413.5440	3+ Years (Tenured)	0
2013	Engineering	Associate	Associate - Engineering	49173.89	4	1.99	37	Other	Two or More	2024-08-17	NULL	9.99	6.00	8.00	0	0.848	19669.5560	1-3 Years (Mid-Tenure)	0
697	Engineering	Associate	Associate - Engineering	54393.56	4	2.26	43	Male	Two or More	2024-05-13	NULL	9.00	9.00	6.00	0	0.937	21757.4240	1-3 Years (Mid-Tenure)	0
