application_id	requisition_id	department_id	date_applied	screen_passed	interview_passed	offer_extended	offer_accepted	hire_date	time_to_fill_days
210	REQ-2025-295	16	2025-09-25	0	0	0	0	NULL	NULL
211	REQ-2025-301	13	2026-01-05	0	0	0	0	NULL	NULL
212	REQ-2026-247	12	2026-06-10	0	0	0	0	NULL	NULL
213	REQ-2025-326	7	2025-11-01	1	1	0	0	NULL	NULL
214	REQ-2025-117	11	2025-11-09	0	0	0	0	NULL	NULL
215	REQ-2025-205	6	2025-11-25	1	0	0	0	NULL	NULL
216	REQ-2026-183	7	2025-11-12	0	0	0	0	NULL	NULL
217	REQ-2025-340	7	2026-04-04	1	0	0	0	NULL	NULL
218	REQ-2026-242	1	2025-08-14	1	1	1	1	2025-08-30	16
219	REQ-2026-217	11	2025-09-24	1	1	0	0	NULL	NULL
220	REQ-2026-145	12	2025-11-13	1	0	0	0	NULL	NULL
221	REQ-2026-145	5	2025-12-05	1	1	1	1	2026-01-27	53
222	REQ-2025-313	16	2026-03-12	0	0	0	0	NULL	NULL
223	REQ-2025-288	16	2025-11-01	1	1	0	0	NULL	NULL
224	REQ-2026-211	9	2026-07-04	0	0	0	0	NULL	NULL
225	REQ-2025-314	12	2025-09-13	1	1	0	0	NULL	NULL
226	REQ-2026-147	8	2025-09-08	0	0	0	0	NULL	NULL
227	REQ-2025-225	12	2026-04-12	0	0	0	0	NULL	NULL
228	REQ-2026-270	4	2025-11-05	1	0	0	0	NULL	NULL
229	REQ-2026-193	15	2026-01-13	1	1	0	0	NULL	NULL
230	REQ-2026-187	5	2026-06-08	0	0	0	0	NULL	NULL
231	REQ-2025-260	4	2026-05-07	1	0	0	0	NULL	NULL
232	REQ-2026-140	6	2026-05-13	1	0	0	0	NULL	NULL
233	REQ-2026-221	7	2025-09-03	1	0	0	0	NULL	NULL
234	REQ-2025-209	3	2025-08-21	0	0	0	0	NULL	NULL
235	REQ-2026-296	12	2026-06-29	0	0	0	0	NULL	NULL
236	REQ-2025-167	3	2025-11-15	0	0	0	0	NULL	NULL
237	REQ-2026-140	8	2026-05-26	1	0	0	0	NULL	NULL
238	REQ-2025-205	9	2025-08-23	0	0	0	0	NULL	NULL
239	REQ-2025-324	13	2026-07-18	1	1	0	0	NULL	NULL
240	REQ-2025-302	5	2026-02-27	0	0	0	0	NULL	NULL
241	REQ-2025-257	13	2026-02-10	0	0	0	0	NULL	NULL
242	REQ-2025-340	5	2026-05-13	1	0	0	0	NULL	NULL
243	REQ-2026-200	12	2026-03-14	0	0	0	0	NULL	NULL
244	REQ-2026-210	2	2025-11-04	1	0	0	0	NULL	NULL
245	REQ-2025-129	7	2025-12-05	1	1	0	0	NULL	NULL
246	REQ-2025-256	15	2026-05-22	1	1	0	0	NULL	NULL
247	REQ-2026-214	9	2025-08-12	1	0	0	0	NULL	NULL
248	REQ-2025-171	6	2026-01-08	1	1	0	0	NULL	NULL
249	REQ-2026-272	11	2026-03-12	1	1	0	0	NULL	NULL
250	REQ-2026-214	16	2025-11-24	1	0	0	0	NULL	NULL
251	REQ-2025-349	15	2025-10-31	1	1	1	1	2025-12-12	42
252	REQ-2025-113	2	2026-01-13	1	0	0	0	NULL	NULL
253	REQ-2026-166	8	2025-12-11	1	1	0	0	NULL	NULL
254	REQ-2026-221	1	2026-01-30	1	0	0	0	NULL	NULL
255	REQ-2025-149	3	2025-11-02	1	0	0	0	NULL	NULL
256	REQ-2026-130	16	2025-09-29	1	1	1	1	2025-11-27	59
257	REQ-2026-166	12	2025-09-18	0	0	0	0	NULL	NULL
258	REQ-2026-202	5	2026-02-20	1	1	1	1	2026-04-05	44
259	REQ-2025-215	8	06/01/2026	0	0	0	0	NULL	NULL
260	REQ-2025-265	15	2025-10-11	1	0	0	0	NULL	NULL
261	REQ-2026-351	7	07/07/2026	1	1	0	0	NULL	NULL
262	REQ-2025-271	8	2026-06-25	1	0	0	0	NULL	NULL
263	REQ-2025-330	13	2025-08-21	0	0	0	0	NULL	NULL
264	REQ-2025-165	16	2026-06-28	0	0	0	0	NULL	NULL
265	REQ-2026-121	1	2026-05-23	1	1	0	0	NULL	NULL
266	REQ-2026-317	14	2026-01-23	1	0	0	0	NULL	NULL
267	REQ-2025-167	3	2026-03-03	0	0	0	0	NULL	NULL
268	REQ-2025-342	1	2026-04-26	0	0	0	0	NULL	NULL
269	REQ-2026-128	6	2025-08-04	1	0	0	0	NULL	NULL
270	REQ-2026-148	1	2026-01-25	0	0	0	0	NULL	NULL
271	REQ-2026-206	7	2026-02-18	1	1	1	1	2026-03-27	37
272	REQ-2025-301	1	2026-04-18	1	1	1	1	2026-05-17	29
273	REQ-2025-324	12	2026-03-11	1	1	1	1	2026-05-09	59
274	REQ-2026-155	9	2025-09-02	0	0	0	0	NULL	NULL
275	REQ-2026-103	2	2026-05-26	0	0	0	0	NULL	NULL
276	REQ-2025-117	15	2025-11-02	1	0	0	0	NULL	NULL
277	REQ-2025-184	12	2025-08-27	1	0	0	0	NULL	NULL
278	REQ-2025-152	3	2026-07-06	0	0	0	0	NULL	NULL
279	REQ-2025-125	14	2025-12-07	0	0	0	0	NULL	NULL
280	REQ-2025-207	3	2026-03-20	0	0	0	0	NULL	NULL
281	REQ-2026-157	5	2026-03-14	0	0	0	0	NULL	NULL
282	REQ-2025-182	13	2025-12-21	1	1	0	0	NULL	NULL
283	REQ-2026-264	12	2026-06-01	1	0	0	0	NULL	NULL
284	REQ-2025-225	10	2026-07-13	1	0	0	0	NULL	NULL
285	REQ-2026-299	6	2026-04-05	1	1	1	0	NULL	NULL
286	REQ-2025-313	9	2026-03-03	0	0	0	0	NULL	NULL
287	REQ-2025-154	14	2026-07-06	1	1	0	0	NULL	NULL
288	REQ-2026-121	10	2026-05-10	0	0	0	0	NULL	NULL
289	REQ-2025-239	15	2025-08-23	1	1	0	0	NULL	NULL
290	REQ-2026-183	14	2025-12-19	0	0	0	0	NULL	NULL
291	REQ-2026-194	9	2025-10-01	0	0	0	0	NULL	NULL
292	REQ-2026-197	1	2025-08-28	1	1	0	0	NULL	NULL
293	REQ-2026-284	14	01/16/2026	1	0	0	0	NULL	NULL
294	REQ-2025-162	13	2025-12-05	1	0	0	0	NULL	NULL
295	REQ-2026-336	10	07/04/2026	0	0	0	0	NULL	NULL
296	REQ-2025-108	15	2026-01-26	0	0	0	0	NULL	NULL
297	REQ-2025-165	13	2025-09-01	1	1	1	1	09/25/2025	24
298	REQ-2026-110	5	2025-10-03	1	1	1	0	NULL	NULL
299	REQ-2026-284	16	2025-08-13	0	0	0	0	NULL	NULL
300	REQ-2026-267	11	2025-10-04	0	0	0	0	NULL	NULL
301	REQ-2025-172	10	2025-12-23	1	1	1	1	2026-01-07	15
302	REQ-2025-178	15	2025-09-20	1	0	0	0	NULL	NULL
303	REQ-2025-207	14	2025-10-05	1	1	1	1	2025-12-01	57
304	REQ-2025-238	3	2025-09-01	1	0	0	0	NULL	NULL
305	REQ-2025-347	8	2025-09-26	0	0	0	0	NULL	NULL
306	REQ-2025-283	8	2026-07-15	0	0	0	0	NULL	NULL
307	REQ-2025-278	8	2025-10-15	1	1	1	0	NULL	NULL
308	REQ-2025-349	12	2026-05-04	0	0	0	0	NULL	NULL
309	REQ-2025-229	9	2025-12-06	1	1	0	0	NULL	NULL
310	REQ-2026-219	1	2025-10-07	0	0	0	0	NULL	NULL
311	REQ-2025-306	6	2026-07-27	0	0	0	0	NULL	NULL
312	REQ-2025-205	4	2026-07-10	0	0	0	0	NULL	NULL
313	REQ-2026-219	4	2025-12-13	1	1	0	0	NULL	NULL
314	REQ-2025-196	6	2025-10-16	1	0	0	0	NULL	NULL
315	REQ-2025-207	10	2026-06-18	0	0	0	0	NULL	NULL
316	REQ-2025-156	11	2025-11-11	0	0	0	0	NULL	NULL
317	REQ-2025-314	1	2025-08-26	1	1	0	0	NULL	NULL
318	REQ-2025-248	4	2025-12-09	0	0	0	0	NULL	NULL
319	REQ-2025-314	5	2026-01-17	1	0	0	0	NULL	NULL
320	REQ-2025-151	10	2026-03-25	0	0	0	0	NULL	NULL
321	REQ-2025-305	11	2025-12-26	0	0	0	0	NULL	NULL
322	REQ-2025-313	8	2025-12-17	1	0	0	0	NULL	NULL
323	REQ-2025-209	11	2025-10-27	1	0	0	0	NULL	NULL
324	REQ-2025-153	15	2025-08-05	1	0	0	0	NULL	NULL
325	REQ-2026-118	4	2025-09-11	1	1	0	0	NULL	NULL
326	REQ-2025-260	10	2025-09-29	1	0	0	0	NULL	NULL
327	REQ-2025-318	8	2026-01-21	0	0	0	0	NULL	NULL
328	REQ-2026-303	2	2026-07-17	1	1	0	0	NULL	NULL
329	NULL	3	2026-06-20	1	1	0	0	NULL	NULL
330	REQ-2025-288	8	2026-01-14	1	0	0	0	NULL	NULL
331	REQ-2026-303	3	2025-08-28	1	0	0	0	NULL	NULL
332	REQ-2025-216	9	2026-05-09	1	0	0	0	NULL	NULL
333	REQ-2026-150	9	2025-12-12	1	0	0	0	NULL	NULL
334	REQ-2026-299	16	2025-12-05	1	0	0	0	NULL	NULL
335	REQ-2025-209	9	2026-07-11	1	0	0	0	NULL	NULL
336	REQ-2026-141	13	2025-11-15	0	0	0	0	NULL	NULL
337	REQ-2025-154	7	2026-07-19	1	0	0	0	NULL	NULL
338	REQ-2025-106	9	2025-10-12	1	1	0	0	NULL	NULL
339	REQ-2025-233	7	2025-11-07	0	0	0	0	NULL	NULL
340	REQ-2025-220	4	2025-10-16	1	0	0	0	NULL	NULL
341	REQ-2025-225	11	2026-04-26	0	0	0	0	NULL	NULL
342	REQ-2026-316	15	2026-01-22	0	0	0	0	NULL	NULL
343	REQ-2026-245	12	2025-08-31	0	0	0	0	NULL	NULL
344	REQ-2025-136	9	2025-09-12	1	1	0	0	NULL	NULL
345	REQ-2025-184	6	2026-03-16	0	0	0	0	NULL	NULL
346	REQ-2025-216	11	2026-06-12	1	0	0	0	NULL	NULL
347	REQ-2026-201	16	2026-03-18	1	0	0	0	NULL	NULL
348	REQ-2025-120	8	2025-08-16	1	0	0	0	NULL	NULL
349	REQ-2026-110	10	2026-06-09	0	0	0	0	NULL	NULL
350	REQ-2026-247	4	2025-11-10	0	0	0	0	NULL	NULL
351	REQ-2026-144	3	2026-04-14	1	1	0	0	NULL	NULL
352	REQ-2025-165	7	2026-05-27	1	1	0	0	NULL	NULL
353	REQ-2026-246	12	2026-02-05	0	0	0	0	NULL	NULL
354	REQ-2026-246	11	2025-10-20	1	0	0	0	NULL	NULL
355	REQ-2025-208	3	2026-05-03	0	0	0	0	NULL	NULL
356	REQ-2026-293	16	2025-10-21	0	0	0	0	NULL	NULL
357	REQ-2026-194	3	2025-12-15	1	0	0	0	NULL	NULL
358	REQ-2025-122	12	11/29/2025	0	0	0	0	NULL	NULL
359	REQ-2026-188	10	2025-12-25	1	1	0	0	NULL	NULL
360	REQ-2026-319	14	2026-01-18	0	0	0	0	NULL	NULL
361	REQ-2026-273	13	2026-07-06	1	0	0	0	NULL	NULL
362	REQ-2026-197	15	2026-03-23	1	0	0	0	NULL	NULL
363	REQ-2026-183	10	2026-06-11	0	0	0	0	NULL	NULL
364	REQ-2025-302	9	2026-01-15	1	1	0	0	NULL	NULL
365	REQ-2025-165	15	2025-12-02	1	1	1	1	2025-12-30	28
366	REQ-2026-206	10	04/13/2026	1	0	0	0	NULL	NULL
367	REQ-2026-201	10	2026-07-08	1	0	0	0	NULL	NULL
368	REQ-2025-169	15	2026-07-18	1	0	0	0	NULL	NULL
369	REQ-2025-216	6	2026-07-18	0	0	0	0	NULL	NULL
370	REQ-2025-102	2	2026-04-05	0	0	0	0	NULL	NULL
371	REQ-2025-151	7	2025-10-13	1	0	0	0	NULL	NULL
372	REQ-2025-108	14	2025-09-19	0	0	0	0	NULL	NULL
373	REQ-2026-211	2	2025-11-24	0	0	0	0	NULL	NULL
374	REQ-2026-161	13	2026-01-02	0	0	0	0	NULL	NULL
375	REQ-2026-303	16	2026-05-19	0	0	0	0	NULL	NULL
376	REQ-2025-228	7	2025-09-23	1	0	0	0	NULL	NULL
377	REQ-2026-320	6	2026-02-06	1	0	0	0	NULL	NULL
378	REQ-2025-151	16	2026-06-01	1	0	0	0	NULL	NULL
379	REQ-2026-235	7	2026-04-30	1	0	0	0	NULL	NULL
380	REQ-2025-208	2	2025-08-08	1	1	0	0	NULL	NULL
381	REQ-2026-197	9	2025-09-04	0	0	0	0	NULL	NULL
382	REQ-2026-290	7	2026-06-07	1	1	0	0	NULL	NULL
383	REQ-2026-183	1	2025-12-15	0	0	0	0	NULL	NULL
384	REQ-2025-165	1	2026-04-16	1	1	1	0	NULL	NULL
385	REQ-2026-217	15	2026-06-06	0	0	0	0	NULL	NULL
