survey_id	employee_id	survey_date	engagement_score	manager_satisfaction	work_life_balance_score	eNPS_category
NULL	52	2026-07-31	5	1	2	Detractor
NULL	53	2026-01-31	2	3	4	Detractor
NULL	53	2026-04-30	4	7	3	Detractor
NULL	53	2026-07-31	7	3	2	Promoter
NULL	54	2024-01-31	8	4	5	Passive
NULL	54	2024-04-30	7	10	6	Passive
NULL	54	2024-07-31	6	10	7	Detractor
NULL	54	2025-01-31	8	9	10	Passive
NULL	54	2025-04-30	6	10	10	Passive
NULL	54	2025-07-31	7	3	9	Detractor
NULL	54	2025-10-31	5	9	7	Passive
NULL	54	2026-01-31	7	7	4	Passive
NULL	54	2026-04-30	6	NULL	7	Detractor
NULL	55	2024-07-31	10	4	10	Passive
NULL	55	2024-10-31	5	6	3	Passive
NULL	55	2025-01-31	4	8	7	Passive
NULL	55	2025-04-30	10	9	9	Passive
NULL	55	2026-07-31	8	8	8	Passive
NULL	56	2024-01-31	10	3	5	Promoter
NULL	56	2024-10-31	6	4	4	Detractor
NULL	56	2025-01-31	8	NULL	NULL	Promoter
NULL	56	2025-04-30	6	5	3	Detractor
NULL	56	2025-10-31	4	9	3	Passive
NULL	56	2026-01-31	4	4	4	Passive
NULL	56	2026-07-31	6	4	6	Passive
NULL	57	2024-01-31	5	2	9	Passive
NULL	57	2024-04-30	2	5	3	Detractor
NULL	57	2024-07-31	5	4	1	Passive
NULL	57	2024-10-31	4	3	4	Detractor
NULL	57	2025-01-31	5	6	1	Promoter
NULL	57	2025-04-30	4	2	3	Passive
NULL	57	2025-07-31	4	5	4	Detractor
NULL	57	2025-10-31	2	5	7	Detractor
NULL	57	2026-04-30	6	6	6	Detractor
NULL	57	2026-07-31	4	NULL	NULL	Detractor
NULL	58	2026-07-31	7	5	4	Detractor
NULL	59	2025-04-30	6	4	4	Passive
NULL	59	2025-07-31	5	6	8	Detractor
NULL	59	2026-01-31	8	4	5	Passive
NULL	59	2026-07-31	7	8	5	Passive
NULL	60	2025-04-30	5	NULL	2	Detractor
NULL	60	2025-07-31	5	4	2	Detractor
NULL	60	2026-01-31	5	7	7	Passive
NULL	60	2026-04-30	6	4	2	Detractor
NULL	60	2026-07-31	6	4	1	Detractor
NULL	61	2024-01-31	4	4	1	Detractor
NULL	61	2024-04-30	2	5	1	Detractor
NULL	61	2024-07-31	6	3	5	Passive
NULL	61	2024-10-31	3	3	4	Detractor
NULL	61	2025-01-31	3	2	1	Detractor
NULL	61	07/31/2025	5	2	6	Detractor
NULL	61	2026-01-31	4	7	6	Detractor
NULL	61	2026-04-30	3	2	1	Detractor
NULL	61	2026-07-31	2	3	3	Detractor
NULL	62	2025-07-31	3	2	8	Detractor
NULL	62	2026-01-31	7	6	5	Detractor
NULL	62	2026-04-30	5	7	1	Detractor
NULL	62	2026-07-31	3	7	1	Detractor
NULL	64	2024-01-31	6	3	3	Detractor
NULL	64	2024-04-30	5	4	6	Detractor
NULL	64	2024-07-31	6	10	2	Detractor
NULL	64	2025-01-31	6	6	6	Detractor
NULL	64	2025-07-31	3	8	7	Detractor
NULL	64	10/31/2025	5	10	6	Detractor
NULL	64	2026-01-31	6	9	5	Promoter
NULL	64	2026-04-30	4	9	6	Detractor
NULL	64	2026-07-31	8	6	6	Promoter
NULL	66	2026-07-31	2	5	4	Detractor
NULL	67	2024-04-30	9	7	5	Promoter
NULL	67	2024-10-31	5	2	5	Detractor
NULL	68	2024-01-31	4	2	7	Detractor
NULL	68	2024-04-30	5	2	4	Promoter
NULL	68	2024-10-31	4	2	1	Passive
NULL	68	2025-04-30	2	4	1	Passive
NULL	68	2025-07-31	5	4	6	Passive
NULL	69	2024-04-30	4	4	5	Promoter
NULL	69	2025-01-31	7	5	3	Promoter
NULL	69	07/31/2025	10	5	4	Promoter
NULL	69	2025-10-31	8	6	4	Promoter
NULL	69	2026-04-30	6	4	10	Promoter
NULL	69	2026-07-31	6	5	7	Detractor
NULL	70	2024-01-31	2	2	1	Passive
NULL	70	2024-04-30	1	3	1	Passive
NULL	70	2024-07-31	3	2	1	Detractor
NULL	70	2024-10-31	1	1	2	Detractor
NULL	70	2025-01-31	1	1	1	Detractor
NULL	70	2025-04-30	2	NULL	1	Detractor
NULL	70	2026-01-31	1	1	3	Detractor
NULL	70	2026-04-30	2	NULL	1	Detractor
NULL	70	2026-07-31	1	4	1	Passive
NULL	71	2024-04-30	6	3	5	Detractor
NULL	71	2024-07-31	6	2	2	Detractor
NULL	71	2024-10-31	7	8	5	Detractor
NULL	71	2025-01-31	5	9	4	Detractor
NULL	71	2025-04-30	5	6	6	Detractor
NULL	71	2025-07-31	7	6	3	Promoter
NULL	71	2025-10-31	7	5	5	Promoter
NULL	71	2026-01-31	9	8	7	Promoter
NULL	72	2025-01-31	3	7	1	Detractor
NULL	72	2025-10-31	5	4	3	Passive
NULL	72	2026-01-31	5	3	4	Passive
NULL	72	2026-07-31	6	5	7	Detractor
NULL	73	2025-07-31	8	9	10	Passive
NULL	73	2025-10-31	8	5	10	Detractor
NULL	73	2026-01-31	8	5	4	Passive
NULL	73	2026-04-30	9	3	8	Promoter
NULL	75	2024-01-31	4	4	4	Passive
NULL	75	2024-04-30	3	1	1	Detractor
NULL	75	2024-07-31	1	3	1	Detractor
NULL	75	2024-10-31	1	1	1	Promoter
NULL	75	2025-01-31	1	1	1	Detractor
NULL	75	2025-04-30	1	1	4	Detractor
NULL	75	2026-01-31	1	1	7	Detractor
NULL	75	2026-04-30	1	7	3	Detractor
NULL	75	2026-07-31	2	4	6	Detractor
NULL	76	2026-07-31	2	2	7	Detractor
NULL	77	2024-07-31	7	7	8	Passive
NULL	77	2024-10-31	4	3	6	Detractor
NULL	77	2025-01-31	8	5	2	Passive
NULL	77	2025-07-31	5	8	3	Detractor
NULL	77	2026-01-31	5	3	3	Detractor
NULL	77	2026-04-30	9	10	4	Promoter
NULL	77	2026-07-31	6	4	7	Detractor
NULL	78	2024-01-31	9	9	8	Promoter
NULL	78	2024-04-30	9	6	8	Promoter
NULL	78	2024-07-31	8	5	5	Passive
NULL	78	2025-01-31	6	8	6	Detractor
NULL	78	2025-04-30	10	9	6	Passive
NULL	78	2025-07-31	6	6	3	Detractor
NULL	79	2026-04-30	8	10	6	Passive
NULL	79	2026-07-31	9	10	3	Promoter
NULL	80	2024-01-31	8	6	5	Passive
NULL	80	2024-04-30	2	6	10	Passive
NULL	80	2024-07-31	5	3	2	Detractor
NULL	80	2024-10-31	3	5	1	Detractor
NULL	80	2025-04-30	9	5	NULL	Promoter
NULL	80	2025-10-31	4	7	3	Passive
NULL	80	2026-07-31	4	7	NULL	Detractor
NULL	81	2026-07-31	6	5	6	Detractor
NULL	82	2026-07-31	4	3	3	Detractor
NULL	83	2024-01-31	2	4	1	Detractor
NULL	83	2024-04-30	3	1	1	Detractor
NULL	83	2024-07-31	4	3	4	Detractor
NULL	83	2024-10-31	3	5	8	Passive
NULL	83	2025-01-31	1	5	4	Passive
NULL	83	2025-04-30	5	1	1	Detractor
NULL	83	2025-07-31	2	1	3	Passive
NULL	83	2025-10-31	2	3	3	Detractor
NULL	83	2026-01-31	2	5	5	Detractor
NULL	83	2026-07-31	3	1	2	Detractor
NULL	84	2024-07-31	4	7	6	Detractor
NULL	84	2024-10-31	8	7	5	Passive
NULL	84	2025-04-30	3	8	4	Promoter
NULL	84	2025-07-31	8	5	6	Passive
NULL	84	2026-01-31	5	4	NULL	Detractor
NULL	84	2026-04-30	5	3	5	Detractor
NULL	84	2026-07-31	5	3	4	Detractor
NULL	85	2024-01-31	5	5	4	Passive
NULL	85	2024-04-30	8	9	3	Passive
NULL	85	2024-07-31	4	9	7	Detractor
NULL	85	2024-10-31	4	1	3	Passive
NULL	85	2025-01-31	1	3	6	Detractor
NULL	85	2025-04-30	6	1	6	Detractor
NULL	85	2025-10-31	5	7	3	Detractor
NULL	85	2026-04-30	7	3	4	Detractor
NULL	85	2026-07-31	1	6	4	Detractor
NULL	86	2024-07-31	10	9	10	Promoter
NULL	86	2024-10-31	9	7	8	Promoter
NULL	86	2025-01-31	10	8	8	Promoter
NULL	86	2025-04-30	10	10	9	Promoter
NULL	86	2025-07-31	10	6	10	Passive
NULL	86	2025-10-31	10	10	10	Promoter
NULL	86	2026-01-31	8	7	6	Passive
NULL	86	2026-07-31	6	10	9	Detractor
NULL	87	2024-07-31	3	1	3	Detractor
NULL	87	2025-01-31	1	1	4	Promoter
NULL	87	2025-07-31	1	1	2	Detractor
NULL	87	2025-10-31	1	4	6	Detractor
NULL	87	2026-01-31	2	1	3	Detractor
NULL	87	2026-04-30	2	6	3	Detractor
NULL	87	2026-07-31	1	7	1	Detractor
NULL	88	2024-01-31	6	2	7	Detractor
NULL	88	2024-04-30	3	9	1	Passive
NULL	88	2024-07-31	6	4	3	Passive
NULL	88	2024-10-31	9	5	5	Promoter
NULL	88	2025-04-30	4	5	6	Detractor
NULL	88	2025-07-31	10	2	10	Promoter
NULL	88	2026-01-31	4	1	4	Detractor
NULL	88	2026-04-30	6	7	2	Detractor
NULL	88	2026-07-31	7	7	6	Promoter
NULL	89	2024-07-31	8	7	1	Passive
NULL	89	2025-01-31	8	2	4	Passive
NULL	89	2025-07-31	7	7	1	Passive
NULL	89	2025-10-31	7	4	7	Passive
NULL	89	2026-04-30	6	2	7	Detractor
NULL	91	2025-01-31	10	7	4	Promoter
NULL	91	2025-04-30	10	8	10	Promoter
NULL	91	2025-07-31	10	10	8	Promoter
NULL	91	2025-10-31	9	8	10	Promoter
NULL	91	2026-01-31	6	6	9	Passive
NULL	91	2026-04-30	10	10	10	Passive
NULL	92	2024-07-31	7	4	3	Passive
NULL	92	2024-10-31	4	5	5	Detractor
NULL	92	2025-01-31	6	10	4	Detractor
NULL	92	2025-07-31	6	7	6	Passive
NULL	92	2025-10-31	8	6	6	Detractor
NULL	92	01/31/2026	5	4	7	Detractor
NULL	92	2026-07-31	8	9	5	Passive
NULL	95	2024-07-31	4	5	4	Detractor
NULL	95	2024-10-31	5	2	5	Detractor
NULL	95	2025-01-31	2	7	2	Detractor
NULL	95	2025-04-30	4	1	3	Detractor
NULL	95	2025-07-31	1	4	2	Detractor
NULL	95	2025-10-31	3	1	1	Passive
NULL	95	2026-01-31	4	6	2	Detractor
NULL	95	2026-04-30	1	2	3	Detractor
NULL	95	2026-07-31	3	1	1	Detractor
NULL	96	2024-10-31	6	5	10	Detractor
NULL	96	2025-01-31	6	1	1	Detractor
NULL	96	2025-07-31	1	3	1	Detractor
NULL	96	2026-04-30	7	NULL	9	Promoter
NULL	96	2026-07-31	6	9	3	Detractor
NULL	97	2024-01-31	5	6	4	Passive
NULL	97	2024-04-30	6	5	5	Passive
NULL	97	2024-10-31	7	8	7	Detractor
NULL	97	2025-01-31	6	10	6	Detractor
NULL	97	2025-04-30	5	7	3	Detractor
NULL	97	2025-07-31	7	5	9	Promoter
NULL	97	2025-10-31	6	4	4	Detractor
NULL	97	2026-01-31	8	4	10	Passive
NULL	97	2026-07-31	9	9	9	Promoter
NULL	98	2024-04-30	5	7	4	Detractor
NULL	98	2024-07-31	2	1	6	Detractor
NULL	98	10/31/2024	7	6	9	Passive
NULL	98	2025-01-31	3	6	1	Detractor
NULL	98	2025-04-30	5	NULL	4	Promoter
NULL	98	2025-07-31	6	1	2	Detractor
NULL	98	2025-10-31	4	8	4	Passive
NULL	98	2026-01-31	6	4	3	Promoter
NULL	98	2026-07-31	6	3	2	Detractor
NULL	99	2024-07-31	7	7	7	Passive
NULL	99	2025-01-31	7	7	4	Passive
NULL	99	2025-04-30	5	7	9	Detractor
NULL	99	2025-07-31	10	4	7	Promoter
NULL	99	2026-04-30	8	8	2	Promoter
NULL	99	2026-07-31	7	9	10	Promoter
NULL	100	2026-04-30	1	2	6	Detractor
NULL	100	2026-07-31	3	4	2	Detractor
NULL	101	2024-01-31	3	6	7	Passive
NULL	101	2024-04-30	8	3	10	Passive
NULL	101	2024-10-31	4	5	5	Detractor
NULL	101	2025-01-31	8	4	1	Promoter
NULL	101	2025-04-30	8	4	8	Passive
NULL	101	2025-07-31	5	5	7	Detractor
NULL	101	2025-10-31	1	6	4	Detractor
NULL	101	2026-01-31	6	9	6	Detractor
NULL	101	2026-04-30	6	4	2	Detractor
NULL	101	2026-07-31	9	5	4	Passive
NULL	102	2024-04-30	4	3	10	Detractor
NULL	102	2024-07-31	7	8	10	Passive
NULL	102	2024-10-31	6	4	1	Detractor
NULL	102	2025-01-31	8	6	2	Passive
NULL	102	2025-04-30	6	3	10	Detractor
NULL	102	2026-01-31	7	7	9	Promoter
NULL	102	2026-07-31	3	6	9	Detractor
NULL	104	2024-07-31	6	9	3	Detractor
NULL	104	2024-10-31	8	8	8	Passive
NULL	104	2025-04-30	8	8	9	Promoter
NULL	104	2025-07-31	8	8	5	Promoter
NULL	104	2026-04-30	10	5	4	Promoter
NULL	105	2024-01-31	8	3	4	Passive
NULL	105	2024-04-30	5	7	3	Passive
NULL	105	2024-07-31	4	9	9	Detractor
NULL	105	2024-10-31	5	4	1	Passive
NULL	105	2025-01-31	6	4	4	Promoter
NULL	105	2025-04-30	6	7	2	Detractor
NULL	105	2025-07-31	6	6	3	Detractor
NULL	105	2025-10-31	8	3	6	Detractor
NULL	105	2026-01-31	6	7	9	Detractor
NULL	105	2026-04-30	9	9	NULL	Promoter
NULL	105	2026-07-31	9	1	8	Promoter
NULL	106	2024-01-31	3	4	1	Passive
NULL	106	2024-04-30	2	3	1	Detractor
NULL	106	2024-07-31	5	3	6	Passive
NULL	106	2024-10-31	3	6	1	Detractor
NULL	106	2025-01-31	4	3	3	Detractor
NULL	106	2025-07-31	5	5	3	Detractor
NULL	107	2024-01-31	1	4	1	Detractor
NULL	107	2024-04-30	4	1	6	Detractor
NULL	108	2024-07-31	1	2	4	Detractor
NULL	108	2024-10-31	4	1	7	Detractor
NULL	108	2025-07-31	4	1	6	Promoter
NULL	108	2025-10-31	7	6	5	Passive
NULL	108	01/31/2026	2	5	1	Detractor
NULL	108	2026-04-30	5	3	NULL	Detractor
NULL	109	2026-07-31	4	7	4	Detractor
NULL	110	2024-01-31	4	5	3	Detractor
NULL	110	2024-07-31	6	2	4	Promoter
NULL	110	2024-10-31	4	10	9	Passive
NULL	110	2025-01-31	8	6	6	Passive
NULL	110	2025-04-30	7	5	6	Passive
NULL	110	2025-10-31	8	7	6	Passive
NULL	110	2026-07-31	8	4	5	Passive
NULL	111	2024-04-30	9	4	7	Promoter
NULL	111	2024-07-31	6	1	10	Detractor
NULL	111	2024-10-31	9	9	8	Promoter
NULL	111	2025-04-30	6	4	5	Detractor
NULL	111	2025-07-31	7	6	2	Passive
NULL	111	10/31/2025	9	7	NULL	Promoter
NULL	111	2026-01-31	3	5	5	Detractor
NULL	111	2026-04-30	6	6	7	Detractor
